blind_review_id,current_label,review_tags,content_evidence_fields,source_exists,source_size_bytes,file_entropy,file_entropy_bytes,file_entropy_truncated,mz_signature,pe_parse_status,pe_machine,pe_timestamp,pe_characteristics,pe_optional_magic,pe_subsystem,pe_dll_characteristics,pe_number_of_sections,pe_section_names,pe_section_raw_size_total,pe_section_raw_end_max,pe_has_export_directory,pe_export_directory_size,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_file_offset,pe_security_directory_size,overlay_size,overlay_entropy,overlay_entropy_bytes,overlay_entropy_truncated,overlay_after_security_size,overlay_after_security_entropy,overlay_after_security_entropy_bytes,overlay_after_security_entropy_truncated,cache_exists,cache_size_bytes,duplicate_manifest_sha_group,manifest_duplicate_group_size,objective_issue_count,objective_issue_flags,identity_columns_are_not_evidence,manual_label_verdict,manual_verdict_note,recommended_action
blind-00011,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1045128,6.602116,1045128,false,true,ok,332,1527801027,258,0x10b,2,33088,7,.text|.rdata|.data|.rsrc|.reloc|.enigma1|.enigma2,1028096,1029120,false,0,true,5180,true,363352,false,0,0,16008,7.427241,16008,false,16008,7.427241,16008,false,true,12264,false,,0,,true,,,
blind-00012,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,217088,6.112096,217088,false,true,ok,332,1338611156,8462,0x10b,2,0,5,.text|.rdata|.data|.rsrc|.reloc,212992,217088,true,73,true,240,true,7768,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00013,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,433664,6.599865,433664,false,true,ok,332,1639125812,258,0x10b,3,33088,5,.text|.rdata|.data|.rsrc|.reloc,432640,433664,false,0,true,120,true,1320,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00014,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,8704,4.874586,8704,false,true,ok,332,1219380185,271,0x10b,2,0,4,.text|.rdata|.data|.rsrc,7680,8704,false,0,true,80,true,1336,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00015,0,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,3175832,7.995340,3175832,false,true,ok,332,1091599297,271,0x10b,2,33792,3,.text|.data|.rsrc,3168768,3169792,false,0,true,140,true,3127852,true,3169792,6040,6040,7.371543,6040,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00016,1,has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,250888,7.757478,250888,false,true,ok,332,1618225245,8450,0x10b,2,320,4,.text|.rdata|.data|.reloc,241664,242688,true,132,true,160,false,0,true,242688,8200,8200,7.424808,8200,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00017,0,,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,258560,6.713126,258560,false,true,ok,332,1235677016,259,0x10b,3,33280,3,.text|.rdata|.data,257536,258560,false,0,true,80,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00018,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,6144,4.720367,6144,false,true,ok,34404,1377607893,35,0x20b,3,32768,5,.text|.rdata|.data|.pdata|.rsrc,5120,6144,false,0,true,140,true,1096,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00019,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,4608,3.902056,4608,false,true,ok,332,1252050935,271,0x10b,3,0,4,.text|.rdata|.data|.rsrc,3584,4608,false,0,true,80,true,928,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00020,0,has_resource_directory|high_file_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1472512,7.411510,1472512,false,true,ok,332,1310402339,259,0x10b,2,32768,5,.text|.rdata|.data|.rsrc|.jdpack,1471488,1472512,false,0,true,184,true,1329384,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00021,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,651440,6.815586,651440,false,true,ok,332,1496977044,258,0x10b,3,33088,7,.text|.rdata|.data|.rsrc|.reloc|.enigma1|.enigma2,634368,635392,false,0,true,5180,true,94384,false,0,0,16048,7.438619,16048,false,16048,7.438619,16048,false,true,12264,false,,0,,true,,,
blind-00022,0,has_resource_directory|high_file_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1296384,7.464694,1296384,false,true,ok,332,1462558030,36239,0x10b,2,32768,8,||||||.petite|,1295360,1296384,false,0,true,1833,true,417280,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00023,1,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1026040,7.882466,1026040,false,true,ok,34404,1370567246,8226,0x20b,2,320,9,.text|.rdata|.data|.pdata|.UPX0|.tls|.UPX1|.reloc|.rsrc,1019392,1020416,true,3277,true,400,true,16932,true,1020416,5624,5624,7.378967,5624,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00024,0,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1816432,6.727209,1816432,false,true,ok,332,1722392373,33166,0x10b,2,0,9,.text|.itext|.data|.bss|.idata|.tls|.rdata|.reloc|.rsrc,1790464,1791488,false,0,true,103810,true,210284,true,1791488,24944,24944,7.636428,24944,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00025,1,has_security_directory|overlay_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,39360,6.505010,39360,false,true,ok,332,1636964402,8462,0x10b,2,64,7,.idata|.text|.data|.rsrc|.rdata|.edata|.reloc,31744,32768,true,66,true,17939,false,0,true,32768,6592,6592,7.591755,6592,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00026,1,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,273408,6.293860,273408,false,true,ok,332,1529832367,8450,0x10b,2,320,5,.text|.data|.idata|.rsrc|.reloc,272384,273408,true,92,true,60,true,928,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00027,0,,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,6656,5.035504,6656,false,true,ok,332,1244324485,8462,0x10b,2,0,4,.text|.rdata|.data|.reloc,5632,6656,true,108,true,80,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00028,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,431104,6.355328,431104,false,true,ok,332,1657893600,302,0x10b,2,320,6,.text|.rdata|.data|.sxdata|.rsrc|.reloc,430080,431104,false,0,true,220,true,25432,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00029,1,no_import_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,8192,6.339879,8192,false,true,ok,332,1409151529,8462,0x10b,2,0,2,.text|.edata,7680,8192,true,57,false,0,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00030,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,19456,4.214524,19456,false,true,ok,34404,1730917176,34,0x20b,2,37216,4,.rdata|.data|.rsrc|.text,17920,19456,false,0,true,124,true,15978,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00031,0,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,517976,5.944027,517976,false,true,ok,332,1301485200,258,0x10b,2,33088,4,.text|.data|.rsrc|.reloc,510976,512000,false,0,true,140,true,408684,true,512000,5976,5976,7.389560,5976,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00032,1,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy|many_sections,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,41920,6.818689,41920,false,true,ok,34404,1650528349,34,0x20b,1,16864,8,.text|.rdata|.data|.pdata|PAGE|INIT|.rsrc|.reloc,20992,22016,false,0,true,40,true,992,true,22016,19904,19904,7.556832,19904,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00033,0,has_resource_directory,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,985088,6.181094,985088,false,true,ok,34404,1341925779,8226,0x20b,2,0,6,.text|.rdata|.data|.pdata|.rsrc|.reloc,984064,985088,true,76,true,240,true,61640,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00034,0,has_resource_directory|high_file_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,12096000,7.918513,12096000,false,true,ok,34404,1750650189,34,0x20b,2,33120,3,UPX0|UPX1|.rsrc,12094976,12096000,false,0,true,1152,true,103084,false,0,0,0,,0,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00035,0,has_resource_directory|has_security_directory|overlay_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,99224,6.346212,99224,false,true,ok,332,1560094583,258,0x10b,2,33088,5,.text|.rdata|.data|.rsrc|.reloc,89088,90112,false,0,true,60,true,20644,true,90112,9112,9112,7.369678,9112,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00036,1,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,19291128,7.999936,19291128,false,true,ok,332,1741475120,271,0x10b,2,34112,5,.text|.rdata|.data|.ndata|.rsrc,40960,41984,false,0,true,160,true,7600,true,19280672,10456,19249144,7.999990,19249144,false,0,,0,false,true,12264,false,,0,,true,,,
blind-00037,1,has_resource_directory|overlay_present|overlay_after_security_present|high_file_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,78275,7.652443,78275,false,true,ok,332,1354815152,8462,0x10b,2,0,3,UPX0|UPX1|.rsrc,59392,60416,true,160,true,220,true,1100,false,0,0,17859,6.367280,17859,false,17859,6.367280,17859,false,true,12264,false,,0,,true,,,
blind-00038,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,657056,6.667400,657056,false,true,ok,332,1467140221,258,0x10b,3,33088,7,.text|.rdata|.data|.rsrc|.reloc|.enigma1|.enigma2,640000,641024,false,0,true,5180,true,1416,false,0,0,16032,7.427653,16032,false,16032,7.427653,16032,false,true,12264,false,,0,,true,,,
blind-00039,0,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,12439728,7.994938,12439728,false,true,ok,34404,1714149206,34,0x20b,2,49504,7,.text|.rdata|.data|.pdata|_RDATA|.rsrc|.reloc,331776,332800,false,0,true,120,true,62500,true,12430088,9640,12106928,7.998393,12106928,false,0,,0,false,true,12264,false,,0,,true,,,
