review_batch_rank,review_category,review_priority_rank,loop57_error_type,label,review_tags,content_evidence_fields,source_exists,source_size_bytes,source_sha256_match,source_sha256_actual,file_entropy,file_entropy_bytes,file_entropy_truncated,mz_signature,pe_parse_status,pe_machine,pe_timestamp,pe_characteristics,pe_optional_magic,pe_subsystem,pe_dll_characteristics,pe_number_of_sections,pe_section_names,pe_section_raw_size_total,pe_section_raw_end_max,pe_has_export_directory,pe_export_directory_size,pe_has_import_directory,pe_import_directory_size,pe_has_resource_directory,pe_resource_directory_size,pe_has_security_directory,pe_security_directory_file_offset,pe_security_directory_size,overlay_size,overlay_entropy,overlay_entropy_bytes,overlay_entropy_truncated,overlay_after_security_size,overlay_after_security_entropy,overlay_after_security_entropy_bytes,overlay_after_security_entropy_truncated,cache_exists,cache_size_bytes,duplicate_manifest_sha_group,manifest_duplicate_group_id,manifest_duplicate_group_size,manifest_duplicate_group_focus_rows,objective_issue_count,objective_issue_flags,identity_columns_are_not_evidence,model_score_columns_are_not_verdict_evidence,source_path,cache_path,source_sha256,sample_index,split,loop57_final_prob,loop57_base_prob,loop57_candidate_prob,loop57_gate_prob,loop39_corrected_by_any_compared_model,manual_label_verdict,manual_verdict_note,recommended_action,loop95_wave_id,loop95_wave_row_number,loop95_intake_row_number,loop96_blind_review_id
,c_high_conflict_persistent_error,,FP,0,has_resource_directory|overlay_present|overlay_after_security_present|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1045128,true,90a592d6f5f13c11649a753e211b510d14844f5eb04060152daa4e9779a05cf9,6.602116,1045128,false,true,ok,332,1527801027,258,0x10b,2,33088,7,.text|.rdata|.data|.rsrc|.reloc|.enigma1|.enigma2,1028096,1029120,false,0,true,5180,true,363352,false,0,0,16008,7.427241,16008,false,16008,7.427241,16008,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\90a592d6f5f13c11649a753e211b510d14844f5eb04060152daa4e9779a05cf9.exe,E:\Project\python\Axon_v2.6Exp\data\.cache\a9a1a97ed96129baffb9879e8f28d4b6_38672ba0.npz,90a592d6f5f13c11649a753e211b510d14844f5eb04060152daa4e9779a05cf9,94321,test,0.9812269211,0.9812269211,0.6533333063,0.0518216975,False,,,,3,94,494,blind-00011
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,217088,true,2e9769ace867c79d5fcdda0eb2660c52b5e062c69b36add42d22eb0dddc4b3ee,6.112096,217088,false,true,ok,332,1338611156,8462,0x10b,2,0,5,.text|.rdata|.data|.rsrc|.reloc,212992,217088,true,73,true,240,true,7768,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\2E9769ACE867C79D5FCDDA0EB2660C52B5E062C69B36ADD42D22EB0DDDC4B3EE,E:\Project\python\Axon_v2.6Exp\data\.cache\33a22e7e253055eb81abe334aaed3e36_38672ba0.npz,2e9769ace867c79d5fcdda0eb2660c52b5e062c69b36add42d22eb0dddc4b3ee,124983,test,0.6453158259,0.6453158259,0.5033333302,0.3711921275,,,,,8,168,1568,blind-00012
,c_high_conflict_persistent_error,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,433664,true,e22724a34ad42d209f0a5ee71409f76b61aa10f50446d8a3bc12c60bb42eea38,6.599865,433664,false,true,ok,332,1639125812,258,0x10b,3,33088,5,.text|.rdata|.data|.rsrc|.reloc,432640,433664,false,0,true,120,true,1320,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\e22724a34ad42d209f0a5ee71409f76b61aa10f50446d8a3bc12c60bb42eea38,E:\Project\python\Axon_v2.6Exp\data\.cache\848e1de64cdb2fe8e410f54c3df397d6_38672ba0.npz,e22724a34ad42d209f0a5ee71409f76b61aa10f50446d8a3bc12c60bb42eea38,145153,test,0.9642105103,0.9642105103,0.8500000238,0.0270449873,True,,,,3,191,591,blind-00013
,c_high_conflict_persistent_error,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,8704,true,c8eeea1d9e57e60ab24e7282f6737c1de99620938afdbaf70e417b9aa410a77f,4.874586,8704,false,true,ok,332,1219380185,271,0x10b,2,0,4,.text|.rdata|.data|.rsrc,7680,8704,false,0,true,80,true,1336,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\C8EEEA1D9E57E60AB24E7282F6737C1DE99620938AFDBAF70E417B9AA410A77F,E:\Project\python\Axon_v2.6Exp\data\.cache\9257a65122b711a368e7caa67cef9f5a_38672ba0.npz,c8eeea1d9e57e60ab24e7282f6737c1de99620938afdbaf70e417b9aa410a77f,41909,test,0.9984313846,0.9984313846,0.8633333445,0.0256478246,False,,,,1,179,179,blind-00014
,f_persistent_fp,,FP,0,has_resource_directory|has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,3175832,true,0551a61c85b718e1fa015b0c3e3f4c4eea0637055536c00e7969286b4fa663e0,7.995340,3175832,false,true,ok,332,1091599297,271,0x10b,2,33792,3,.text|.data|.rsrc,3168768,3169792,false,0,true,140,true,3127852,true,3169792,6040,6040,7.371543,6040,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\0551A61C85B718E1FA015B0C3E3F4C4EEA0637055536C00E7969286B4FA663E0,E:\Project\python\Axon_v2.6Exp\data\.cache\9654765c98e8d56b0d9993e868789a3a_38672ba0.npz,0551a61c85b718e1fa015b0c3e3f4c4eea0637055536c00e7969286b4fa663e0,161938,test,0.9249501228,0.9249501228,0.6133333445,0.0606404059,,,,,5,95,895,blind-00015
,c_high_conflict_persistent_error,,FN,1,has_security_directory|overlay_present|high_file_entropy|high_overlay_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,250888,true,3156efc2fb1eafc783f5e10990b0d4208481fc6f554edc3235fe48e4a71eadac,7.757478,250888,false,true,ok,332,1618225245,8450,0x10b,2,320,4,.text|.rdata|.data|.reloc,241664,242688,true,132,true,160,false,0,true,242688,8200,8200,7.424808,8200,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待拉黑\2021-04\2021-04-27\3156efc2fb1eafc783f5e10990b0d4208481fc6f554edc3235fe48e4a71eadac.dll,E:\Project\python\Axon_v2.6Exp\data\.cache\36d796ec24751739f9319b00cab49869_38672ba0.npz,3156efc2fb1eafc783f5e10990b0d4208481fc6f554edc3235fe48e4a71eadac,198710,test,0.0165786371,0.0165786371,0.1333333403,0.1255835146,True,,,,2,131,331,blind-00016
,c_high_conflict_persistent_error,,FP,0,,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,258560,true,212fda6eec1ceaf481e316c51fddd21403be2863afe8209fbf7c43e9bfd59921,6.713126,258560,false,true,ok,332,1235677016,259,0x10b,3,33280,3,.text|.rdata|.data,257536,258560,false,0,true,80,false,0,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\212fda6eec1ceaf481e316c51fddd21403be2863afe8209fbf7c43e9bfd59921,E:\Project\python\Axon_v2.6Exp\data\.cache\8fde9e7543870148390f871371bca9d9_38672ba0.npz,212fda6eec1ceaf481e316c51fddd21403be2863afe8209fbf7c43e9bfd59921,121590,test,0.9952653050,0.9952653050,0.8666666746,0.0227896553,False,,,,2,49,249,blind-00017
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,6144,true,388a796580234efc95f3b1c70ad4cb44bfddc7ba0f9203bf4902b9929b136f95,4.720367,6144,false,true,ok,34404,1377607893,35,0x20b,3,32768,5,.text|.rdata|.data|.pdata|.rsrc,5120,6144,false,0,true,140,true,1096,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\388a796580234efc95f3b1c70ad4cb44bfddc7ba0f9203bf4902b9929b136f95,E:\Project\python\Axon_v2.6Exp\data\.cache\79631e55264f7a9a71b93dd8b195ae88_38672ba0.npz,388a796580234efc95f3b1c70ad4cb44bfddc7ba0f9203bf4902b9929b136f95,176847,test,0.6169546843,0.6169546843,0.6000000238,0.5783076286,,,,,9,12,1612,blind-00018
,f_persistent_fp,,FP,0,has_resource_directory,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,4608,true,9a274719ee6bf4f3dc90ed2650581e22815f8fef0d5718575bfb7ebe111be199,3.902056,4608,false,true,ok,332,1252050935,271,0x10b,3,0,4,.text|.rdata|.data|.rsrc,3584,4608,false,0,true,80,true,928,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\9a274719ee6bf4f3dc90ed2650581e22815f8fef0d5718575bfb7ebe111be199,E:\Project\python\Axon_v2.6Exp\data\.cache\fb6097ec21e1ca0e21340b4aba65603f_38672ba0.npz,9a274719ee6bf4f3dc90ed2650581e22815f8fef0d5718575bfb7ebe111be199,67387,test,0.9437607527,0.9437607527,0.6833333373,0.0228164643,,,,,5,47,847,blind-00019
,f_persistent_fp,,FP,0,has_resource_directory|high_file_entropy,source_size_bytes|source_sha256_match|file_entropy|mz_signature|pe_parse_status|pe_machine|pe_characteristics|pe_optional_magic|pe_subsystem|pe_dll_characteristics|pe_number_of_sections|pe_section_names|pe_section_raw_size_total|pe_has_export_directory|pe_has_import_directory|pe_has_resource_directory|pe_has_security_directory|overlay_size|overlay_entropy|overlay_after_security_size|overlay_after_security_entropy,true,1472512,true,ee47b6e0fb267b7f5d7f2fd6e904b1789cfc4c726915398909da6236ef0e1b05,7.411510,1472512,false,true,ok,332,1310402339,259,0x10b,2,32768,5,.text|.rdata|.data|.rsrc|.jdpack,1471488,1472512,false,0,true,184,true,1329384,false,0,0,0,,0,false,0,,0,false,true,12264,false,,,,0,,true,true,E:\Project\python\Axon_v2.6Exp\data\待加入白名单\ee47b6e0fb267b7f5d7f2fd6e904b1789cfc4c726915398909da6236ef0e1b05.exe,E:\Project\python\Axon_v2.6Exp\data\.cache\054100da348aa21b7064494392e681d0_38672ba0.npz,ee47b6e0fb267b7f5d7f2fd6e904b1789cfc4c726915398909da6236ef0e1b05,162843,test,0.8606492281,0.8606492281,0.7366666794,0.0674891546,,,,,6,2,1002,blind-00020
